legajo,nivel,titulo,colacion,promedio,promedio_lineal
53214,Grado,Ingeniero en Informática,55,6.42,6.68
55019,Grado,Ingeniero en Informática,55,7.88,7.95
55802,Grado,Lic.en Administración y Sistemas,55,5.86,6.17
56047,Grado,Ingeniero en Informática,55,7.72,7.72
53098,Grado,Bioingeniero,55,5.87,6.34
50229,Grado,Ingeniero Electrónico,55,5.67,6.28
54256,Grado,Ingeniero Mecánico,55,6.86,6.9
54337,Grado,Bioingeniero,55,5.81,6.09
55254,Grado,Ingeniero Químico,55,7.07,7.23
55785,Grado,Ingeniero Electrónico,55,8.23,8.2
52240,Grado,Ingeniero Electrónico,55,6.09,6.56
53077,Grado,Ingeniero Electrónico,55,6.94,7.18
52051,Grado,Ingeniero en Informática,55,6.45,6.87
52066,Grado,Ingeniero en Informática,55,7.13,7.47
56115,Grado,Lic.en Administración y Sistemas,55,6.5,6.54
56210,Grado,Bioingeniero,55,8.07,8.02
54182,Grado,Ingeniero en Informática,55,6.97,7.31
54263,Grado,Ingeniero en Informática,55,7.07,7.08
54623,Grado,Ingeniero en Informática,55,6.71,7.05
51185,Grado,Ingeniero en Informática,55,5.76,6.41
54096,Grado,Ingeniero Mecánico,55,6.63,6.87
54048,Grado,Ingeniero Electrónico,55,6.38,6.68
56288,Grado,Ingeniero en Informática,55,8.24,8.1
54094,Grado,Ingeniero Mecánico,55,6.26,6.71
56689,Grado,Lic.en Administración y Sistemas,55,6.53,6.79
53559,Grado,Ingeniero en Informática,55,6.86,7.06
54197,Grado,Ingeniero en Informática,55,6.97,7.26
54308,Grado,Ingeniero en Informática,55,7.22,7.34
55165,Grado,Ingeniero en Informática,55,6.67,6.86
54293,Grado,Ingeniero en Informática,55,7.44,7.51
55332,Grado,Ingeniero en Informática,55,7.54,7.73
55810,Grado,Ingeniero Electrónico,55,7.78,7.89
55302,Grado,Ingeniero en Informática,55,6.75,7.05
51074,Grado,Ingeniero en Informática,55,5.87,6.68
54024,Grado,Ingeniero Industrial,55,5.72,6.42
54021,Grado,Ingeniero Industrial,55,5.29,5.91
54339,Grado,Ingeniero Industrial,55,5.74,6.25
53382,Grado,Ingeniero Industrial,55,5.86,6.31
53293,Grado,Ingeniero Industrial,55,5.5,6.02
55194,Grado,Ingeniero en Petróleo,55,6.75,6.98
55300,Grado,Ingeniero Industrial,55,6.06,6.73
55102,Grado,Ingeniero Industrial,55,6.31,6.67
56614,Grado,Bioingeniero,55,7.55,7.55
55017,Grado,Ingeniero en Petróleo,55,5.97,6.24
53852,Grado,Ingeniero en Informática,55,6.27,6.58
55179,Grado,Ingeniero Industrial,55,6.48,6.98
54833,Grado,Ingeniero Industrial,55,6.01,6.56
54603,Grado,Ingeniero Industrial,55,5.87,6.45
54454,Grado,Ingeniero Industrial,55,6.33,6.84
52328,Grado,Ingeniero Industrial,55,5.8,6.67
54042,Grado,Ingeniero Industrial,55,5.52,6.3
52028,Grado,Ingeniero Industrial,55,5.66,6.38
52439,Grado,Ingeniero Mecánico,55,6.17,6.53
54462,Grado,Ingeniero Industrial,55,6.2,6.79
55280,Grado,Ingeniero Industrial,55,6.06,6.69
55833,Grado,Lic.en Administración y Sistemas,55,6.26,6.34
57267,Grado,Lic.en Administración y Sistemas,55,6.61,6.58
57443,Grado,Lic.en Administración y Sistemas,55,8.73,8.66
57679,Grado,Lic.en Administración y Sistemas,55,6.72,6.78
56638,Grado,Lic.en Administración y Sistemas,55,7.05,6.95
56282,Grado,Ingeniero Químico,55,8.81,8.89
56034,Grado,Ingeniero Químico,55,6.7,6.86
56193,Grado,Ingeniero Químico,55,8.18,8.28
56213,Grado,Ingeniero Químico,55,7.64,7.84
56230,Grado,Ingeniero Químico,55,8.17,8.16
55131,Grado,Lic.en Administración y Sistemas,55,7.11,7.25
